"Каталог","Тип","Метод","Статус","Ссылка","Что требуется"
"Brownbook","Business directory","Add business (guest); short description + website","SUCCESS_CANDIDATE","https://www.brownbook.net/add-business","Fill form + submit"
"CityLocalPro","Business directory","Fill form (13f) → manual reCAPTCHA v2 → submit","SUCCESS_CANDIDATE","https://citylocalpro.com/add-your-business","Fill form + submit; captcha: recaptcha_v2 (manual)"
"Digital Agency Net","Agency marketplace","Add agency listing","SUCCESS_CANDIDATE","https://digitalagencynetwork.com/add-agency/","Fill form + submit; agency profile: услуги + описание + портфолио"
"GoodFirms","Agency marketplace","List your company (register → agency profile)","NEEDS_MANUAL","https://www.goodfirms.co/list-your-company","Капча (Turnstile/Cloudflare) не проходится; прежний SUCCESS из лога не подтверждён — только ручной заход"
"TopSEOs","Agency marketplace","Vendor registration (agency profile)","NEEDS_MANUAL","https://www.topseos.com/registration","Форма жива (Drupal 6f + honeypot) на /registration (старый /vendor-registration = 404); submit зависает — ручной заход"
"Alignable","Business directory","Join Alignable small business network; connect Plantation/Fort Lauderdale","NEEDS_MANUAL","https://www.alignable.com/joint-base-mdl-nj","Уточнить путь подачи / partner application"
"Broward County Chamber","Business directory","Chamber membership application","NEEDS_MANUAL","https://browardchamber.com/lander","Уточнить путь подачи / partner application"
"EZlocal","Business directory","Stealth → Add your business; exact NAP","NEEDS_MANUAL","https://www.ezlocal.com/business-directory/add-business","Headed stealth + ручной Cloudflare challenge + submit; Cloudflare (headed stealth)"
"Ft Lauderdale Chamber","Business directory","Chamber membership application","NEEDS_MANUAL","https://business.ftlchamber.com/MIC/login/","Регистрация аккаунта на info@itllect.com + email verify"
"Hotfrog","Business directory","Add business; exact NAP match","NEEDS_MANUAL","https://www.hotfrog.com/add-business","Headed stealth + ручной Cloudflare challenge + submit; Cloudflare (headed stealth)"
"Local.com","Business directory","Claim listing / add business; 100-word description","FAILED","https://www.local.com/claim-listing","Страница claim-listing = 404 (Page not found); подача невозможна"
