Каталог,URL,Категория,Тип,Приоритет,Статус,Результат,Следующий шаг,Причина статуса,Ссылка на профиль
"Yellow Pages","https://www.yellowpages.com","Business Directory","A","HIGH","Площадка недоступна","Заблокировано Cloudflare/anti-bot — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Manta","https://www.manta.com","Business Directory","A","HIGH","Площадка недоступна","Заблокировано Cloudflare/anti-bot — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Hotfrog","https://www.hotfrog.com","Business Directory","A","MEDIUM","Площадка недоступна","Заблокировано Cloudflare/anti-bot — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Alignable","https://www.alignable.com","Business Directory","A","HIGH","Требуется действие клиента","Требуется ручное действие (повторить заполнение или завершить отправку)","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Superpages","https://www.superpages.com","Business Directory","A","MEDIUM","Площадка недоступна","Заблокировано Cloudflare challenge — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Merchant Circle","https://www.merchantcircle.com","Business Directory","A","MEDIUM","Требуется действие клиента","Регистрация недоступна (404/403) — требуется ручная проверка","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"Local.com","https://www.local.com","Business Directory","A","MEDIUM","Требуется действие клиента","Страница подачи не работает (404)","Требуется действие клиента","Требуется действие клиента (вход, OAuth, подтверждение)","—"
"EZlocal","https://www.ezlocal.com","Business Directory","A","MEDIUM","Площадка недоступна","Заблокировано Cloudflare challenge — требуется ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Brownbook","https://www.brownbook.net","Business Directory","A","HIGH","Заявка отправлена / ожидает модерации","Заявка отправлена 07.08, профиль не опубликован (поиск: Results Found 0) — ожидает email-подтверждения/модерации","Ожидать обработки площадкой и проверки модерации","Заявка успешно отправлена и ожидает модерации","не подтверждён (профиль не найден)"
"Opendi","https://www.opendi.us","Business Directory","A","HIGH","Площадка недоступна","Заблокировано Cloudflare/IP-reputation — требуется другой IP/VPN или ручной заход","Площадка недоступна в текущем процессе","Площадка недоступна в текущем процессе из-за ограничений платформы","—"
"Spoke","https://spoke.com","Business Directory","A","LOW","Не подходит для текущей задачи","Площадка сменила профиль — не каталог","Площадка не соответствует формату задачи","Площадка не соответствует формату текущего задания по размещению компании в каталогах","—"
